# По материалам интернет-портала MosOpen.ru - http://mosopen.ru/
street,district
"60-летия Октября, проспект",Академический
"Большая Черёмушкинская, улица",Академический
"Вавилова, улица",Академический
"Винокурова, улица",Академический
"Гримау, улица",Академический
"Губкина, улица",Академический
"Дмитрия Ульянова, улица",Академический
"Ивана Бабушкина, улица",Академический
"Иосипа Броз Тито, площадь",Академический
"Карьер, улица",Академический
"Кедрова, улица",Академический
"Кржижановского, улица",Академический
"Львова, улица",Академический
"Нахимовский, проспект",Академический
"Новочерёмушкинская, улица",Академический
"Профсоюзная, улица",Академический
"Ферсмана, улица",Академический
"Хо Ши Мина, площадь",Академический
"Черёмушкинский, проезд",Академический
"Шверника, улица",Академический
"Академика Люльки, площадь",Алексеевский
"Бориса Галушкина, улица",Алексеевский
"Графский, переулок",Алексеевский
"Дроболитейный, переулок",Алексеевский
"Зубарев, переулок",Алексеевский
"Касаткина, улица",Алексеевский
"Кибальчича, улица",Алексеевский
"Константинова, улица",Алексеевский
"Космонавтов, улица",Алексеевский
"Кулаков, переулок",Алексеевский
"Кучин, переулок",Алексеевский
"Маломосковская, улица",Алексеевский
"Мира, проспект",Алексеевский
"Мытищинская 1-я, улица",Алексеевский
"Мытищинская 2-я, улица",Алексеевский
"Мытищинская 3-я, улица",Алексеевский
"Мытищинский, проезд",Алексеевский
"Николаевский, тупик",Алексеевский
"Новоалексеевская, улица",Алексеевский
"Павла Корчагина, улица",Алексеевский
"Ракетный, бульвар",Алексеевский
"Рижский 1-й, переулок",Алексеевский
"Рижский, проезд",Алексеевский
"Староалексеевская, улица",Алексеевский
"Церковная Горка, улица",Алексеевский
"Шарля Де Голля, площадь",Алексеевский
"Ярославская, улица",Алексеевский
"Алтуфьевское, шоссе",Алтуфьевский
"Бегичева, улица",Алтуфьевский
"Бибиревская, улица",Алтуфьевский
"Инженерная, улица",Алтуфьевский
"Костромская, улица",Алтуфьевский
"Поморская, улица",Алтуфьевский
"Проектируемый, проезд N 4251",Алтуфьевский
"Путевой, проезд",Алтуфьевский
"Стандартная, улица",Алтуфьевский
"Черского, проезд",Алтуфьевский
"Арбат, улица",Арбат
"Арбатская, площадь",Арбат
"Арбатские Ворота, площадь",Арбат
"Арбатский, переулок",Арбат
"Большая Молчановка, улица",Арбат
"Большая Никитская, улица",Арбат
"Большой Афанасьевский, переулок",Арбат
"Большой Девятинский, переулок",Арбат
"Большой Знаменский, переулок",Арбат
"Большой Кисловский, переулок",Арбат
"Большой Николопесковский, переулок",Арбат
"Большой Ржевский, переулок",Арбат
